red_rank,rider_name,team_name,red_points
1,Pogačar Tadej,UAE Team Emirates - XRG,119
2,Vingegaard Jonas,Team Visma | Lease a Bike,104
3,Martinez Lenny,Bahrain - Victorious,97
4,Arensman Thymen,INEOS Grenadiers,85
5,O'Connor Ben,Team Jayco AlUla,51
6,Paret-Peintre Valentin,Soudal Quick-Step,51
7,Gall Felix,Decathlon AG2R La Mondiale Team,46
8,Roglič Primož,Red Bull - BORA - hansgrohe,43
9,Onley Oscar,Team Picnic PostNL,42
10,Woods Michael,Israel - Premier Tech,38
11,Healy Ben,EF Education - EasyPost,37
12,Rubio Einer,Movistar Team,35
13,Lipowitz Florian,Red Bull - BORA - hansgrohe,34
14,Armirail Bruno,Decathlon AG2R La Mondiale Team,27
15,Jorgenson Matteo,Team Visma | Lease a Bike,25
16,Storer Michael,Tudor Pro Cycling Team,19
17,Johannessen Tobias Halland,Uno-X Mobility,18
18,Wellens Tim,UAE Team Emirates - XRG,13
19,Vlasov Aleksandr,Red Bull - BORA - hansgrohe,12
20,Buitrago Santiago,Bahrain - Victorious,12
21,Mühlberger Gregor,Movistar Team,10
22,Campenaerts Victor,Team Visma | Lease a Bike,10
23,Van Wilder Ilan,Soudal Quick-Step,10
24,Foss Tobias,INEOS Grenadiers,10
25,Kuss Sepp,Team Visma | Lease a Bike,9
26,Simmons Quinn,Lidl - Trek,8
27,Vauquelin Kévin,Arkéa - B&B Hotels,7
28,Sweeny Harry,EF Education - EasyPost,6
29,Johannessen Anders Halland,Uno-X Mobility,6
30,Yates Simon,Team Visma | Lease a Bike,5
31,Abrahamsen Jonas,Uno-X Mobility,5
32,Lutsenko Alexey,Israel - Premier Tech,4
33,Costiou Ewen,Arkéa - B&B Hotels,4
34,Yates Adam,UAE Team Emirates - XRG,4
35,Wright Fred,Bahrain - Victorious,3
36,Jegat Jordan,Team TotalEnergies,3
37,Barré Louis,Intermarché - Wanty,2
38,Thomas Benjamin,Cofidis,2
39,Powless Neilson,EF Education - EasyPost,2
40,Alaphilippe Julian,Tudor Pro Cycling Team,2
41,Groves Kaden,Alpecin - Deceuninck,2
42,Plapp Luke,Team Jayco AlUla,2
43,Grégoire Romain,Groupama - FDJ,1
44,Leknessund Andreas,Uno-X Mobility,1
45,Burgaudeau Mathieu,Team TotalEnergies,1
46,van Aert Wout,Team Visma | Lease a Bike,1
47,Sivakov Pavel,UAE Team Emirates - XRG,1
48,Asgreen Kasper,EF Education - EasyPost,1
49,Albanese Vincenzo,EF Education - EasyPost,1
50,Vercher Mattéo,Team TotalEnergies,1
51,Paret-Peintre Aurélien,Decathlon AG2R La Mondiale Team,1
52,Soler Marc,UAE Team Emirates - XRG,1
53,Hirschi Marc,Tudor Pro Cycling Team,1
54,Schmid Mauro,Team Jayco AlUla,1
55,Romeo Iván,Movistar Team,1
