teams_rank,team_name,gap_time,team_time
1,Team Visma | Lease a Bike,232:01:32,232:01:32
2,UAE Team Emirates - XRG,0:24:26,232:25:58
3,Red Bull - BORA - hansgrohe,1:24:47,233:26:19
4,Arkéa - B&B Hotels,2:10:52,234:12:24
5,Decathlon AG2R La Mondiale Team,2:14:15,234:15:47
6,INEOS Grenadiers,3:22:52,235:24:24
7,Movistar Team,3:23:25,235:24:57
8,XDS Astana Team,3:23:59,235:25:31
9,Team Picnic PostNL,3:26:06,235:27:38
10,EF Education - EasyPost,3:43:35,235:45:07
11,Groupama - FDJ,3:51:08,235:52:40
12,Uno-X Mobility,4:31:44,236:33:16
13,Team TotalEnergies,4:42:35,236:44:07
14,Soudal Quick-Step,4:58:37,237:00:09
15,Tudor Pro Cycling Team,6:05:18,238:06:50
16,Alpecin - Deceuninck,6:12:33,238:14:05
17,Team Jayco AlUla,6:58:35,239:00:07
18,Israel - Premier Tech,7:23:42,239:25:14
19,Cofidis,7:34:39,239:36:11
20,Lidl - Trek,7:56:39,239:58:11
21,Bahrain - Victorious,8:37:55,240:39:27
22,Lotto,10:36:37,242:38:09
23,Intermarché - Wanty,11:40:42,243:42:14
