stage_date,stage_number,stage_type,stage_distance_km,stage_start,stage_finish
05.07.2025,1,Flat stage,184,9,Lille Métropole,Lille Métropole
06.07.2025,2,Hilly stage,209,1,Lauwin-Planque,Boulogne-sur-Mer
07.07.2025,3,Flat stage,178,3,Valenciennes,Dunkerque
08.07.2025,4,Hilly stage,174,2,Amiens Métropole,Rouen
09.07.2025,5,Individual time trial,33,0,Caen,Caen
10.07.2025,6,Hilly stage,201,5,Bayeux,Vire Normandie
11.07.2025,7,Hilly stage,197,0,Saint-Malo,Mûr-de-Bretagne (Guerlédan)
12.07.2025,8,Flat stage,171,4,Saint-Méen-le-Grand,Laval (Espace Mayenne)
13.07.2025,9,Flat stage,174,1,Chinon,Châteauroux
14.07.2025,10,Mountain stage,165,3,Ennezat,Le Mont-Dore Puy de Sancy
16.07.2025,11,Flat stage,156,8,Toulouse,Toulouse
17.07.2025,12,Mountain stage,180,6,Auch,Hautacam
18.07.2025,13,Mountain time trial,10,9,Loudenvielle,Peyragudes
19.07.2025,14,Mountain stage,182,6,Pau,Luchon-Superbagnères
20.07.2025,15,Hilly stage,169,3,Muret,Carcassonne
22.07.2025,16,Mountain stage,171,5,Montpellier,Mont Ventoux
23.07.2025,17,Flat stage,160,4,Bollène,Valence
24.07.2025,18,Mountain stage,171,5,Vif,Courchevel (Col de la Loze)
25.07.2025,19,Mountain stage,93,1,Albertville,La Plagne
26.07.2025,20,Hilly stage,184,2,Nantua,Pontarlier
27.07.2025,21,Flat stage,132,3,Mantes-la-Ville,Paris (Champs-Élysées)
